capture_time_utc,recv_ts_ms,exchange_ts,exchange_ts_ms,symbol,bid,ask,bid_qty,ask_qty,raw_age_ms,adjusted_age_ms,e2e_since_sub_ms
2026-02-22T14:18:12.023501+00:00,1771769892023.493,2026-02-22T14:18:13.424797Z,1771769893424.797,BTC/EUR,57354.6,57355.2,0.0148,0.03163759,-1401.304,7.627,1873.036
2026-02-22T14:18:12.024324+00:00,1771769892024.318,2026-02-22T14:18:13.425023Z,1771769893425.023,BTC/EUR,57354.2,57355.2,0.11912482,0.03163759,-1400.705,8.225,1873.861
2026-02-22T14:18:12.025633+00:00,1771769892025.628,2026-02-22T14:18:13.427447Z,1771769893427.447,BTC/EUR,57354.2,57354.7,0.11912482,0.03163939,-1401.819,7.112,1875.171
2026-02-22T14:18:12.026308+00:00,1771769892026.293,2026-02-22T14:18:13.427447Z,1771769893427.447,BTC/EUR,57354.1,57354.7,0.00116395,0.03163939,-1401.154,7.776,1875.836
2026-02-22T14:18:12.026962+00:00,1771769892026.947,2026-02-22T14:18:13.428819Z,1771769893428.819,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1401.872,7.059,1876.490
2026-02-22T14:18:12.037867+00:00,1771769892037.845,2026-02-22T14:18:13.438716Z,1771769893438.716,BTC/EUR,57354.4,57355.2,0.0148,0.03163939,-1400.871,8.060,1887.388
2026-02-22T14:18:12.038736+00:00,1771769892038.728,2026-02-22T14:18:13.428819Z,1771769893428.819,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1390.091,18.839,1888.271
2026-02-22T14:18:12.039818+00:00,1771769892039.811,2026-02-22T14:18:13.440326Z,1771769893440.326,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1400.515,8.416,1889.354
2026-02-22T14:18:12.044315+00:00,1771769892044.297,2026-02-22T14:18:13.428819Z,1771769893428.819,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1384.522,24.409,1893.840
2026-02-22T14:18:12.044342+00:00,1771769892044.336,2026-02-22T14:18:13.442452Z,1771769893442.452,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1398.116,10.814,1893.879
2026-02-22T14:18:12.044357+00:00,1771769892044.352,2026-02-22T14:18:13.425642Z,1771769893425.642,BTC/EUR,57354.1,57355.3,0.00116395,0.02405993,-1381.290,27.640,1893.895
2026-02-22T14:18:12.044370+00:00,1771769892044.366,2026-02-22T14:18:13.444314Z,1771769893444.314,BTC/EUR,57354.5,57355.3,0.11912419,0.02405993,-1399.948,8.982,1893.909
2026-02-22T14:18:12.044382+00:00,1771769892044.379,2026-02-22T14:18:13.425642Z,1771769893425.642,BTC/EUR,57354.1,57355.3,0.00116395,0.02405993,-1381.263,27.667,1893.922
2026-02-22T14:18:12.044394+00:00,1771769892044.390,2026-02-22T14:18:13.445850Z,1771769893445.850,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1401.459,7.471,1893.933
2026-02-22T14:18:12.045544+00:00,1771769892045.538,2026-02-22T14:18:13.447497Z,1771769893447.497,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.959,6.972,1895.081
2026-02-22T14:18:12.047172+00:00,1771769892047.155,2026-02-22T14:18:13.448917Z,1771769893448.917,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.762,7.169,1896.698
2026-02-22T14:18:12.047380+00:00,1771769892047.371,2026-02-22T14:18:13.449044Z,1771769893449.044,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.673,7.257,1896.914
2026-02-22T14:18:12.049007+00:00,1771769892048.971,2026-02-22T14:18:13.450517Z,1771769893450.517,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.546,7.385,1898.514
2026-02-22T14:18:12.049066+00:00,1771769892049.050,2026-02-22T14:18:13.450517Z,1771769893450.517,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.467,7.463,1898.593
2026-02-22T14:18:12.051032+00:00,1771769892050.946,2026-02-22T14:18:13.452149Z,1771769893452.149,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.203,7.728,1900.489
2026-02-22T14:18:12.051060+00:00,1771769892051.053,2026-02-22T14:18:13.452255Z,1771769893452.255,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.202,7.729,1900.596
2026-02-22T14:18:12.052268+00:00,1771769892052.251,2026-02-22T14:18:13.453621Z,1771769893453.621,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.370,7.560,1901.794
2026-02-22T14:18:12.052295+00:00,1771769892052.289,2026-02-22T14:18:13.453621Z,1771769893453.621,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.332,7.598,1901.832
2026-02-22T14:18:12.052981+00:00,1771769892052.973,2026-02-22T14:18:13.455052Z,1771769893455.052,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1402.079,6.852,1902.516
2026-02-22T14:18:12.052997+00:00,1771769892052.992,2026-02-22T14:18:13.455362Z,1771769893455.362,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1402.370,6.560,1902.535
2026-02-22T14:18:12.054916+00:00,1771769892054.904,2026-02-22T14:18:13.456820Z,1771769893456.820,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.916,7.015,1904.447
2026-02-22T14:18:12.054944+00:00,1771769892054.935,2026-02-22T14:18:13.456820Z,1771769893456.820,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.885,7.045,1904.478
2026-02-22T14:18:12.056747+00:00,1771769892056.740,2026-02-22T14:18:13.458468Z,1771769893458.468,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1401.729,7.202,1906.282
2026-02-22T14:18:12.056766+00:00,1771769892056.760,2026-02-22T14:18:13.458727Z,1771769893458.727,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.967,6.963,1906.303
